country_iso3,measure,sex_own,entr_size,transaction_type,unit_measure,prices,unit_mult,country,year,value,obs_status,decimals,region_code
ESP,INTEREST_RATE,_Z,SME,_Z,PA,_Z,0,ESP,2015,3.01,A,2,NA
ESP,BANKRUPTCIES,_Z,SME,NEW,GR,_Z,0,ESP,2015,-22.93956044,A,2,NA
ESP,VC,_Z,T,_Z,GR,_Z,0,ESP,2015,-15.35380507,A,2,NA
ESP,INTEREST_RATE_SPREAD,_Z,SME,_Z,PD,_Z,0,ESP,2015,1.04,A,2,NA
ESP,BANKRUPTCIES,_Z,SME,NEW,ENT,_Z,0,ESP,2015,3927,A,0,NA
ESP,PAYMENT_DELAYS,_Z,T,_Z,D,_Z,0,ESP,2015,9,A,0,NA
ESP,LOAN,_Z,T,NEW,EUR,V,9,ESP,2015,393,A,1,NA
ESP,LOAN,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2015,258,A,1,NA
ESP,LOAN,_Z,T,OUTSTANDING,EUR,V,9,ESP,2015,517.509,A,1,NA
ESP,LOAN,_Z,SME,NEW,EUR,V,9,ESP,2015,165,A,1,NA
ESP,VC,_Z,T,_Z,EUR,V,9,ESP,2015,1902,A,1,NA
ESP,LOAN_ST,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2015,154,A,1,NA
ESP,LOAN_LT,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2015,12,A,1,NA
ESP,LOAN_GOV_GUARANTEED,_Z,SME,_Z,EUR,V,6,ESP,2015,273,A,1,NA
ESP,LOAN_GOV_DIRECT,_Z,SME,_Z,EUR,V,6,ESP,2015,21481,A,1,NA
ESP,LOAN_GOV_GUARANTEES,_Z,SME,_Z,EUR,V,6,ESP,2015,7600,A,1,NA
ESP,LOAN,_Z,SME,OUTSTANDING,PT_ENT,_Z,0,ESP,2016,50.10141988,A,2,NA
ESP,LOAN,_Z,SME,NEW,PT_ENT,_Z,0,ESP,2016,52.63157895,A,2,NA
ESP,NPL,_Z,T,OUTSTANDING,PT_ENT,_Z,0,ESP,2016,9.11,A,2,NA
ESP,LOAN_ST,_Z,T,OUTSTANDING,PT_ENT,_Z,0,ESP,2016,90,A,2,NA
ESP,LOAN_APPLICATIONS,_Z,SME,_Z,PT_ENT,_Z,0,ESP,2016,32.8,A,2,NA
ESP,LOAN_COLLATERAL,_Z,SME,_Z,PT_ENT,_Z,0,ESP,2016,25.89,A,2,NA
ESP,LOAN_REJECTION,_Z,SME,_Z,PT_ENT,_Z,0,ESP,2016,6.95,A,2,NA
ESP,INTEREST_RATE,_Z,LRG,_Z,PA,_Z,0,ESP,2016,1.56,A,2,NA
ESP,INTEREST_RATE,_Z,SME,_Z,PA,_Z,0,ESP,2016,2.44,A,2,NA
ESP,BANKRUPTCIES,_Z,SME,NEW,GR,_Z,0,ESP,2016,-15.8390629,A,2,NA
ESP,VC,_Z,T,_Z,GR,_Z,0,ESP,2016,-0.841219769,A,2,NA
ESP,INTEREST_RATE_SPREAD,_Z,SME,_Z,PD,_Z,0,ESP,2016,0.88,A,2,NA
ESP,BANKRUPTCIES,_Z,SME,NEW,ENT,_Z,0,ESP,2016,3305,A,0,NA
ESP,PAYMENT_DELAYS,_Z,T,_Z,D,_Z,0,ESP,2016,7,A,0,NA
ESP,LOAN,_Z,T,NEW,EUR,V,9,ESP,2016,323,A,1,NA
ESP,LOAN,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2016,247,A,1,NA
ESP,LOAN,_Z,T,OUTSTANDING,EUR,V,9,ESP,2016,493,A,1,NA
ESP,LOAN,_Z,SME,NEW,EUR,V,9,ESP,2016,170,A,1,NA
ESP,VC,_Z,T,_Z,EUR,V,9,ESP,2016,1886,A,1,NA
ESP,LOAN_ST,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2016,153,A,1,NA
ESP,LOAN_LT,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2016,17,A,1,NA
ESP,LOAN_GOV_GUARANTEED,_Z,SME,_Z,EUR,V,6,ESP,2016,109,A,1,NA
ESP,LOAN_GOV_DIRECT,_Z,SME,_Z,EUR,V,6,ESP,2016,20734,A,1,NA
ESP,LOAN_GOV_GUARANTEES,_Z,SME,_Z,EUR,V,6,ESP,2016,6500,A,1,NA
ESP,LOAN,_Z,SME,OUTSTANDING,PT_ENT,_Z,0,ESP,2017,51.57232704,A,2,NA
ESP,LOAN,_Z,SME,NEW,PT_ENT,_Z,0,ESP,2017,54.27728614,A,2,NA
ESP,NPL,_Z,T,OUTSTANDING,PT_ENT,_Z,0,ESP,2017,7.79,A,2,NA
ESP,LOAN_ST,_Z,T,OUTSTANDING,PT_ENT,_Z,0,ESP,2017,88.58695652,A,2,NA
ESP,LOAN_APPLICATIONS,_Z,SME,_Z,PT_ENT,_Z,0,ESP,2017,28.14,A,2,NA
ESP,LOAN_COLLATERAL,_Z,SME,_Z,PT_ENT,_Z,0,ESP,2017,26.04,A,2,NA
ESP,LOAN_REJECTION,_Z,SME,_Z,PT_ENT,_Z,0,ESP,2017,4.75,A,2,NA
ESP,INTEREST_RATE,_Z,LRG,_Z,PA,_Z,0,ESP,2017,1.56,A,2,NA
ESP,INTEREST_RATE,_Z,SME,_Z,PA,_Z,0,ESP,2017,2.15,A,2,NA
ESP,BANKRUPTCIES,_Z,SME,NEW,GR,_Z,0,ESP,2017,0.15128593,A,2,NA
ESP,VC,_Z,T,_Z,GR,_Z,0,ESP,2017,29.69247084,A,2,NA
ESP,INTEREST_RATE_SPREAD,_Z,SME,_Z,PD,_Z,0,ESP,2017,0.59,A,2,NA
ESP,BANKRUPTCIES,_Z,SME,NEW,ENT,_Z,0,ESP,2017,3310,A,0,NA
ESP,PAYMENT_DELAYS,_Z,T,_Z,D,_Z,0,ESP,2017,5,A,0,NA
ESP,LOAN,_Z,T,NEW,EUR,V,9,ESP,2017,339,A,1,NA
ESP,LOAN,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2017,246,A,1,NA
ESP,LOAN,_Z,T,OUTSTANDING,EUR,V,9,ESP,2017,477,A,1,NA
ESP,LOAN,_Z,SME,NEW,EUR,V,9,ESP,2017,184,A,1,NA
ESP,VC,_Z,T,_Z,EUR,V,9,ESP,2017,2446,A,1,NA
ESP,LOAN_ST,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2017,163,A,1,NA
ESP,LOAN_LT,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2017,21,A,1,NA
ESP,LOAN_GOV_GUARANTEED,_Z,SME,_Z,EUR,V,6,ESP,2017,42,A,1,NA
ESP,LOAN_GOV_DIRECT,_Z,SME,_Z,EUR,V,6,ESP,2017,20525,A,1,NA
ESP,LOAN_GOV_GUARANTEES,_Z,SME,_Z,EUR,V,6,ESP,2017,3110,A,1,NA
ESP,LOAN,_Z,SME,OUTSTANDING,PT_ENT,_Z,0,ESP,2018,51.34529148,A,2,NA
ESP,LOAN,_Z,SME,NEW,PT_ENT,_Z,0,ESP,2018,50.43227666,A,2,NA
ESP,LOAN_ST,_Z,T,OUTSTANDING,PT_ENT,_Z,0,ESP,2018,89.71428571,A,2,NA
ESP,LOAN_APPLICATIONS,_Z,SME,_Z,PT_ENT,_Z,0,ESP,2018,28.6,A,2,NA
